"id","timestamp","temperature_c","temperature_f"
85,"2024-01-07 00:00:00","29","84.2"
86,"2024-01-07 06:00:00","34","93.2"
87,"2024-01-07 12:00:00","28","82.4"
88,"2024-01-07 18:00:00","25","77"
89,"2024-01-08 00:00:00","29","84.2"
90,"2024-01-08 06:00:00","34","93.2"
91,"2024-01-08 12:00:00","28","82.4"
92,"2024-01-08 18:00:00","25","77"
93,"2024-01-09 00:00:00","29","84.2"
94,"2024-01-09 06:00:00","34","93.2"
95,"2024-01-09 12:00:00","28","82.4"
96,"2024-01-09 18:00:00","25","77"
49,"2024-01-01 00:00:00","29","84.2"
50,"2024-01-01 06:00:00","33","91.4"
51,"2024-01-01 12:00:00","28","82.4"
52,"2024-01-01 18:00:00","26","78.8"
53,"2024-01-02 00:00:00","28","82.4"
54,"2024-01-02 06:00:00","34","93.2"
55,"2024-01-02 12:00:00","27","80.6"
56,"2024-01-02 18:00:00","25","77"
57,"2024-01-03 00:00:00","28","82.4"
58,"2024-01-03 06:00:00","34","93.2"
59,"2024-01-03 12:00:00","27","80.6"
60,"2024-01-03 18:00:00","25","77"
69,"2024-01-04 00:00:00","28","82.4"
70,"2024-01-04 06:00:00","34","93.2"
71,"2024-01-04 12:00:00","27","80.6"
72,"2024-01-04 18:00:00","25","77"
77,"2024-01-05 00:00:00","28","82.4"
78,"2024-01-05 06:00:00","33","91.4"
79,"2024-01-05 12:00:00","26","78.8"
80,"2024-01-05 18:00:00","24","75.2"
81,"2024-01-06 00:00:00","29","84.2"
82,"2024-01-06 06:00:00","34","93.2"
83,"2024-01-06 12:00:00","28","82.4"
84,"2024-01-06 18:00:00","26","78.8"
